A00-01-01;Colera
A01-01-01;Febbre tifoide e paratifo
A02-01-01;Altre infezioni da salmonella
A03-01-01;Shigellosi
A04-01-01;Altre infezioni batteriche intestinali
A05-01-01;Altre intossicazioni alimentari batteriche
A06-01-01;Amebiasi
A07-01-01;Altre malattie intestinali da protozoi
A08-01-01;Infezioni virali intestinali ed altre infezioni intestinali specificate
A09-01-01;Diarrea e gastroenterite di presunta origine infettiva
A15-01-02;Tubercolosi respiratoria, confermata batteriologicamente ed istologicamente
A16-01-02;Tubercolosi respiratoria, non confermata batteriologicamente ed istologicamente
A17-01-02;Tubercolosi del sistema nervoso
A18-01-02;Tubercolosi di altri organi
A19-01-02;Tubercolosi miliare
A20-01-03;Peste
A21-01-03;Tularemia
A22-01-03;Carbonchio
A23-01-03;Brucellosi
A24-01-03;Morva e melioidosi
A25-01-03;Febbri da morso di ratto
A26-01-03;Erisipeloide
A27-01-03;Leptospirosi
A28-01-03;Altre specificate malattie batteriche trasmesse da animali, non classificate altrove
A30-01-04;Lebbra (malattia di Hansen)
A31-01-04;Infezione da altri micobatteri
A32-01-04;Listeriosi
A33-01-04;Tetano del neonato
A34-01-04;Tetano ostetrico
A35-01-04;Altre forme di tetano
A36-01-04;Difterite
A37-01-04;Pertosse
A38-01-04;Scarlattina
A39-01-04;Infezione meningococcica
A40-01-04;Setticemia streptococcica
A41-01-04;Altre forme di setticemia
A42-01-04;Actinomicosi
A43-01-04;Nocardiosi
A44-01-04;Bartonellosi
A46-01-04;Erisipela
A48-01-04;Altre malattie batteriche non classificate altrove
A49-01-04;Infezione batterica di sede non specificata
A50-01-05;Sifilide congenita
A51-01-05;Sifilide precoce
A52-01-05;Sifilide tardiva
A53-01-05;Altre e non specificate forme di sifilide
A54-01-05;Infezione gonococcica
A55-01-05;Linfogranuloma (venereo) da Chlamydiae
A56-01-05;Altre malattie da Chlamydiae, sessualmente trasmesse
A57-01-05;Ulcera venerea molle
A58-01-05;Granuloma inguinale
A59-01-05;Tricomoniasi
A60-01-05;Infezioni anogenitali da herpes virus (herpes simplex)
A63-01-05;Altre malattie a trasmissione prevalentemente sessuale, non classificate altrove
A64-01-05;Malattia sessualmente trasmessa non specificata
A65-01-06;Sifilide non venerea
A66-01-06;Framboesia
A67-01-06;Pinta (carate)
A68-01-06;Febbri ricorrenti
A69-01-06;Altre infezioni da spirochete
A70-01-07;Infezione da Chlamydiae psittaci
A71-01-07;Tracoma
A74-01-07;Altre malattie da Chlamydiae
A75-01-08;Tifo esantematico
A77-01-08;Febbre maculosa (rickettsiosi da zecche)
A78-01-08;Febbre Q
A79-01-08;Altre rickettsiosi
A80-01-09;Poliomielite acuta
A81-01-09;Infezioni del sistema nervoso centrale da virus non convenzionali
A82-01-09;Rabbia
A83-01-09;Encefalite virale da zanzare
A84-01-09;Encefalite virale da zecche
A85-01-09;Altre encefaliti virali non classificate altrove
A86-01-09;Encefalite virale non specificata
A87-01-09;Meningite virale
A88-01-09;Altre infezioni virali del sistema nervoso centrale non classificate altrove
A89-01-09;Infezione virale del sistema nervoso centrale non specificata
A90-01-10;Febbre dengue (dengue classico)
A91-01-10;Febbre dengue emorragica
A92-01-10;Altre febbri virali trasmesse da zanzare
A93-01-10;Altre febbri virali trasmesse da artropodi, non classificate altrove
A94-01-10;Febbre virale trasmessa da artropodi non specificata
A95-01-10;Febbre gialla
A96-01-10;Febbre emorragica da arenavirus
A98-01-10;Altre febbri emorragiche virali non classificate altrove
A99-01-10;Febbre virale emorragica non specificata
B00-01-11;Infezioni da Herpes virus (herpes simplex)
B01-01-11;Varicella
B02-01-11;Zoster (herpes zoster)
B03-01-11;Vaiolo
B04-01-11;Vaiolo delle scimmie
B05-01-11;Morbillo
B06-01-11;Rosolia
B07-01-11;Verruche virali
B08-01-11;Altre infezioni virali caratterizzate da lesioni della cute e delle mucose, non classificate altrove
B09-01-11;Infezione virale non specificata caratterizzata da lesioni della cute e delle mucose
B15-01-12;Epatite acuta A
B16-01-12;Epatite acuta B
B17-01-12;Altre epatiti virali acute
B18-01-12;Epatite virale cronica
B19-01-12;Epatite virale non specificata
B20-01-13;Malattia da virus dell''immunodeficienza umana (HIV) che da'' luogo a malattie infettive o parassitarie
B21-01-13;Malattia da virus dell''immunodeficienza umana (HIV) che da'' luogo a neoplasie maligne
B22-01-13;Malattia da virus dell''immunodeficienza umana (HIV) che da'' luogo ad altre malattie specificate
B23-01-13;Malattia da virus dell''immunodeficienza umana (HIV) che da'' luogo ad altre condizioni morbose
B24-01-13;Malattia da virus dell''immunodeficienza umana (HIV) non specificata
B25-01-14;Malattia da cytomegalovirus
B26-01-14;Parotite epidemica
B27-01-14;Mononucleosi infettiva
B30-01-14;Congiuntivite virale
B33-01-14;Altre malattie virali non classificate altrove
B34-01-14;Infezione virale di sede non specificata
B35-01-15;Dermatofitosi
B36-01-15;Altre micosi superficiali
B37-01-15;Candidosi
B38-01-15;Coccidioidomicosi
B39-01-15;Istoplasmosi
B40-01-15;Blastomicosi
B41-01-15;Paracoccidioidomicosi
B42-01-15;Sporotricosi
B43-01-15;Cromomicosi e ascesso feomicotico
B44-01-15;Aspergillosi
B45-01-15;Criptococcosi
B46-01-15;Zigomicosi
B47-01-15;Micetoma
B48-01-15;Altre micosi non classificate altrove
B49-01-15;Micosi non specificata
B50-01-16;Malaria da Plasmodium falciparum
B51-01-16;Malaria da Plasmodium vivax
B52-01-16;Malaria da Plasmodium malariae
B53-01-16;Altre forme di malaria confermata ad esame parassitologico
B54-01-16;Malaria non specificata
B55-01-16;Leishmaniosi
B56-01-16;Tripanosomiasi africana
B57-01-16;Malattia di Chagas
B58-01-16;Toxoplasmosi
B59-01-16;Pneumocistosi
B60-01-16;Altre malattie protozoarie non classificate altrove
B64-01-16;Malattia protozoaria non specificata
B65-01-17;Schistosomiasi (bilharziosi)
B66-01-17;Altre infezioni da trematodi
B67-01-17;Echinococcosi
B68-01-17;Teniasi
B69-01-17;Cisticercosi
B70-01-17;Difillobotriasi e sparganosi
B71-01-17;Altre infezioni da cestodi
B72-01-17;Dracunculosi
B73-01-17;Oncocercosi
B74-01-17;Filariosi
B75-01-17;Trichinellosi
B76-01-17;Malattie da vermi uncinati
B77-01-17;Ascaridiasi
B78-01-17;Strongiloidiasi
B79-01-17;Trichiuriasi
B80-01-17;Enterobiasi
B81-01-17;Altre elmintiasi intestinali non classificate altrove
B82-01-17;Parassitismo intestinale non specificato
B83-01-17;Altre elmintiasi
B85-01-18;Pediculosi e ftiriasi
B86-01-18;Scabbia
B87-01-18;Miasi
B88-01-18;Altre infestazioni
B89-01-18;Malattia parassitaria non specificata
B90-01-19;Sequele di tubercolosi
B91-01-19;Sequele di poliomielite
B92-01-19;Sequele di lebbra
B94-01-19;Sequele di altre e non specificate malattie infettive e parassitarie
B95-01-20;Streptococco e stafilococco come causa di malattie classificate in altri settori
B96-01-20;Altri agenti batterici come causa di malattie classificate in altri settori
B97-01-20;Virus come causa di malattie classificate in altri settori
B99-01-21;Altre e non specificate malattie infettive
C00-02-01;Tumore maligno del labbro
C01-02-01;Tumore maligno della base della lingua
C02-02-01;Tumore maligno di altre e non specificate parti della lingua
C03-02-01;Tumore maligno della gengiva
C04-02-01;Tumore maligno del pavimento orale
C05-02-01;Tumore maligno del palato
C06-02-01;Tumore maligno di altre e non specificate parti della bocca
C07-02-01;Tumore maligno della parotide
C08-02-01;Tumore maligno di altre e non specificate ghiandole salivari maggiori
C09-02-01;Tumore maligno della tonsilla
C10-02-01;Tumore maligno dell''orofaringe
C11-02-01;Tumore maligno della rinofaringe
C12-02-01;Tumore maligno del seno piriforme
C13-02-01;Tumore maligno dell''ipofaringe
C14-02-01;Tumore maligno di altre e mal definite sedi del labbro, della cavita'' orale e della faringe
C15-02-02;Tumore maligno dell''esofago
C16-02-02;Tumore maligno dello stomaco
C17-02-02;Tumore maligno dell''intestino tenue
C18-02-02;Tumore maligno del colon
C19-02-02;Tumore maligno della giunzione retto sigmoidea
C20-02-02;Tumore maligno del retto
C21-02-02;Tumore maligno dell''ano e del canale anale
C22-02-02;Tumore maligno del fegato e dei dotti biliari intraepatici
C23-02-02;Tumore maligno della colecisti
C24-02-02;Tumore maligno di altre e non specificate parti delle vie biliari
C25-02-02;Tumore maligno del pancreas
C26-02-02;Tumore maligno di altri e mal definiti organi dell''apparato digerente
C30-02-03;Tumore maligno di cavita'' nasale e di orecchio medio
C31-02-03;Tumore maligno dei seni paranasali
C32-02-03;Tumore maligno della laringe
C33-02-03;Tumore maligno della trachea
C34-02-03;Tumore maligno dei bronchi e del polmone
C37-02-03;Tumore maligno del timo
C38-02-03;Tumore maligno del cuore, del mediastino e della pleura
C39-02-03;Tumore maligno di altre e mal definite sedi dell''apparato respiratorio e degli organi intratoracici
C40-02-04;Tumore maligno dell''osso e della cartilagine articolare degli arti
C41-02-04;Tumore maligno dell''osso e della cartilagine articolare di altre e non specificate sedi
C43-02-05;Melanoma maligno della cute
C44-02-05;Altri tumori maligni della cute
C45-02-06;Mesotelioma
C46-02-06;Sarcoma di Kaposi
C47-02-06;Tumore maligno dei nervi periferici e del sistema nervoso autonomo
C48-02-06;Tumore maligno del retroperitoneo e peritoneo
C49-02-06;Tumore maligno del tessuto connettivo e di altri tessuti molli
C50-02-07;Tumori maligni della mammella
C51-02-08;Tumore maligno della vulva
C52-02-08;Tumore maligno della vagina
C53-02-08;Tumore maligno della cervice uterina
C54-02-08;Tumore maligno del corpo dell''utero
C55-02-08;Tumore maligno dell''utero, parte non specificata
C56-02-08;Tumore maligno dell''ovaio
C57-02-08;Tumore maligno di altro e non specificato organo genitale femminile
C58-02-08;Tumore maligno della placenta
C60-02-09;Tumore maligno del pene
C61-02-09;Tumore maligno della prostata
C62-02-09;Tumore maligno del testicolo
C63-02-09;Tumore maligno di altro e non specificato organo genitale maschile
C64-02-10;Tumore maligno del rene, ad eccezione della pelvi renale
C65-02-10;Tumore maligno della pelvi renale
C66-02-10;Tumore maligno dell''uretere
C67-02-10;Tumore maligno della vescica
C68-02-10;Tumore maligno di altro e non specificato organo dell''apparato urinario
C69-02-11;Tumore maligno dell''occhio e degli annessi oculari
C70-02-11;Tumore maligno delle meningi
C71-02-11;Tumore maligno dell''encefalo
C72-02-11;Tumore maligno del midollo spinale, dei nervi cranici e di altre parti del sistema nervoso centrale
C73-02-12;Tumore maligno della tiroide
C74-02-12;Tumore maligno della ghiandola surrenale
C75-02-12;Tumore maligno di altre ghiandole endocrine e di strutture correlate
C76-02-13;Tumore maligno di altra e mal definita sede
C77-02-13;Tumore maligno secondario e non specificato dei linfonodi
C78-02-13;Tumore maligno secondario dell’apparato respiratorio e del digerente
C79-02-13;Tumore maligno secondario di altre sedi
C80-02-13;Tumore maligno di sede non specificata
C81-02-14;Morbo di Hodgkin
C82-02-14;Linfoma non Hodgkin follicolare (nodulare)
C83-02-14;Linfoma non Hodgkin diffuso
C84-02-14;Linfoma a cellule T periferiche e cutanee
C85-02-14;Altri e non specificati tipi di linfomi non Hodgkin
C88-02-14;Malattie maligne immunoproliferative
C90-02-14;Mieloma multiplo e tumori plasmacellulari maligni
C91-02-14;Leucemia linfoide
C92-02-14;Leucemia mieloide
C93-02-14;Leucemia monocitica
C94-02-14;Altre leucemie di tipo cellulare specificato
C95-02-14;Leucemia di tipo cellulare non specificato
C96-02-14;Altro e non specificato tumore maligno del tessuto linfoide, ematopoietico e tessuti correlati
C97-02-15;Tumori maligni di sedi indipendenti (primitive) multiple
D00-02-16;Carcinoma in situ della cavita'' orale, dell’esofago e dello stomaco
D01-02-16;Carcinoma in situ di altri e non specificati organi dell''apparato digerente
D02-02-16;Carcinoma in situ dell''orecchio medio e dell''apparato respiratorio
D03-02-16;Melanoma in situ
D04-02-16;Carcinoma in situ della cute
D05-02-16;Carcinoma in situ della mammella
D06-02-16;Carcinoma in situ della cervice uterina
D07-02-16;Carcinoma in situ di altri e non specificati organi dell''apparato genitale
D09-02-16;Carcinoma in situ di altre e non specificate sedi
D10-02-17;Tumore benigno della bocca e della faringe
D11-02-17;Tumore benigno delle ghiandole salivari maggiori
D12-02-17;Tumore benigno del colon, retto, ano e canale anale
D13-02-17;Tumore benigno di altre e mal definite parti dell''apparato digerente
D14-02-17;Tumore benigno dell''orecchio medio e dell''apparato respiratorio
D15-02-17;Tumore benigno di altri e non specificati organi intratoracici
D16-02-17;Tumore benigno dell''osso e della cartilagine articolare
D17-02-17;Tumore lipomatoso benigno
D18-02-17;Emangioma e linfangioma di qualsiasi sede
D19-02-17;Tumore benigno del tessuto mesoteliale
D20-02-17;Tumore benigno di tessuto molle del peritoneo e del retroperitoneo
D21-02-17;Altri tumori benigni del tessuto connettivo e di altri tessuti molli
D22-02-17;Nevi melanocitici
D23-02-17;Altri tumori benigni della cute
D24-02-17;Tumore benigno della mammella
D25-02-17;Leiomioma dell''utero
D26-02-17;Altri tumori benigni dell''utero
D27-02-17;Tumore benigno dell''ovaio
D28-02-17;Tumore benigno di altri e non specificati organi genitali femminili
D29-02-17;Tumore benigno degli organi genitali maschili
D30-02-17;Tumore benigno degli organi urinari
D31-02-17;Tumore benigno dell''occhio e degli annessi oculari
D32-02-17;Tumore benigno delle meningi
D33-02-17;Tumore benigno dell''encefalo e di altre parti del sistema nervoso centrale
D34-02-17;Tumore benigno della tiroide
D35-02-17;Tumore benigno di altre e non specificate ghiandole endocrine
D36-02-17;Tumore benigno di altre e non specificate sedi
D37-02-18;Tumore di comportamento incerto o sconosciuto della cavita'' orale e degli organi dell''apparato digerente
D38-02-18;Tumore di comportamento incerto o sconosciuto dell''orecchio medio, degli organi dell''apparato respiratorio e degli organi intratoracici
D39-02-18;Tumore di comportamento incerto o sconosciuto degli organi genitali femminili
D40-02-18;Tumore di comportamento incerto o sconosciuto degli organi genitali maschili
D41-02-18;Tumore di comportamento incerto o sconosciuto degli organi dell''apparato urinario
D42-02-18;Tumore di comportamento incerto o sconosciuto delle meningi
D43-02-18;Tumore di comportamento incerto o sconosciuto dell''encefalo e del sistema nervoso centrale
D44-02-18;Tumore di comportamento incerto o sconosciuto delle ghiandole endocrine
D45-02-18;Policitemia vera
D46-02-18;Sindromi mielodisplasiche
D47-02-18;Altri tumori di comportamento incerto o sconosciuto del tessuto linfatico, ematopoietico e tessuti correlati
D48-02-18;Tumore di comportamento incerto o sconosciuto di altre e non specificate sedi
D50-03-01;Anemia da deficit di ferro
D51-03-01;Anemia da deficit di vitamina B12
D52-03-01;Anemia da deficit di folati
D53-03-01;Altre anemie nutrizionali
D55-03-02;Anemia dovuta a difetti enzimatici
D56-03-02;Talassemia
D57-03-02;Malattie drepanocitiche (ad emazie falciformi)
D58-03-02;Altre anemie emolitiche ereditarie
D59-03-02;Anemia emolitica acquisita
D60-03-03;Aplasia pura acquisita della serie rossa (eritroblastopenia)
D61-03-03;Altre anemie aplastiche
D62-03-03;Anemia acuta post emorragica
D63-03-03;Anemia in malattie croniche classificate altrove
D64-03-03;Altre anemie
D65-03-04;Coagulazione intravascolare disseminata (sindrome da defibrinazione)
D66-03-04;Deficit ereditario del fattore VIII
D67-03-04;Deficit ereditario del fattore IX
D68-03-04;Altri difetti della coagulazione
D69-03-04;Porpora ed altre condizioni morbose emorragiche
D70-03-05;Agranulocitosi
D71-03-05;Disturbi funzionali dei neutrofili polimorfonucleati
D72-03-05;Altri disturbi dei globuli bianchi
D73-03-05;Malattie della milza
D74-03-05;Metaemoglobinemia
D75-03-05;Altre malattie del sangue e degli organi ematopoietici
D76-03-05;Alcune malattie del tessuto linforeticolare e del sistema reticoloistiocitario
D77-03-05;Altri disturbi del sangue e degli organi ematopoietici in malattie classificate altrove
D80-03-06;Immunodeficienza dovuta principalmente a deficit di produzione di anticorpi
D81-03-06;Immunodeficienze combinate
D82-03-06;Immunodeficienza associata ad altri difetti maggiori
D83-03-06;Immunodeficienza comune variabile
D84-03-06;Altre immunodeficienze
D86-03-06;Sarcoidosi
D89-03-06;Altri disturbi del sistema immunitario non classificati altrove
E00-04-01;Sindrome da carenza di iodio congenita
E01-04-01;Disturbi tiroidei da carenza di iodio e condizioni morbose correlate
E02-04-01;Ipotiroidismo subclinico da carenza di iodio
E03-04-01;Altro ipotiroidismo
E04-04-01;Altro tipo di gozzo non tossico
E05-04-01;Tireotossicosi (ipertiroidismo)
E06-04-01;Tiroidite
E07-04-01;Altri disturbi della tiroide
E10-04-02;Diabete mellito insulino dipendente
E11-04-02;Diabete mellito non insulino dipendente
E12-04-02;Diabete mellito correlato a malnutrizione
E13-04-02;Altro tipo di diabete mellito specificato
E14-04-02;Diabete mellito non specificato
E15-04-03;Coma ipoglicemico non diabetico
E16-04-03;Altri disturbi della secrezione endocrina pancreatica
E20-04-04;Ipoparatiroidismo
E21-04-04;Iperparatiroidismo ed altri disturbi delle paratiroidi
E22-04-04;Iperfunzione ipofisaria
E23-04-04;Ipofunzione ed altri disturbi dell''ipofisi
E24-04-04;Sindrome di Cushing
E25-04-04;Sindromi adrenogenitali
E26-04-04;Iperaldosteronismo
E27-04-04;Altri disturbi della ghiandola surrenale
E28-04-04;Disfunzione ovarica
E29-04-04;Disfunzione testicolare
E30-04-04;Disturbi della puberta'' non classificati altrove
E31-04-04;Disfunzione plurighiandolare
E32-04-04;Malattie del timo
E34-04-04;Altri disturbi endocrini
E35-04-04;Disturbi di ghiandole endocrine in malattie classificate altrove
E40-04-05;Kwashiorkor
E41-04-05;Marasma da denutrizione
E42-04-05;Kwashiorkor marantico
E43-04-05;Grave malnutrizione proteico energetica non specificata
E44-04-05;Malnutrizione proteico energetica di grado moderato e lieve
E45-04-05;Ritardo dello sviluppo conseguente a malnutrizione proteico energetica
E46-04-05;Malnutrizione proteico energetica non specificata
E50-04-06;Deficit di vitamina A
E51-04-06;Deficit di tiamina
E52-04-06;Deficit di niacina (pellagra)
E53-04-06;Deficit di altre vitamine del complesso B
E54-04-06;Deficit di acido ascorbico
E55-04-06;Deficit di vitamina D
E56-04-06;Altri deficit vitaminici
E58-04-06;Deficit alimentare di calcio
E59-04-06;Deficit alimentare di selenio
E60-04-06;Deficit alimentare di zinco
E61-04-06;Deficit di altri elementi nutritivi
E63-04-06;Altre deficit nutrizionali
E64-04-06;Sequele di malnutrizione e di altri deficit nutrizionali
E65-04-07;Adiposita'' localizzata
E66-04-07;Obesita''
E67-04-07;Altre forme di iperalimentazione
E68-04-07;Sequele dell''iperalimentazione
E70-04-08;Disturbi del metabolismo degli aminoacidi aromatici
E71-04-08;Disturbi del metabolismo degli aminoacidi a catena ramificata e degli acidi grassi
E72-04-08;Altri disturbi del metabolismo degli aminoacidi
E73-04-08;Intolleranza al lattosio
E74-04-08;Altri disturbi del metabolismo dei carboidrati
E75-04-08;Disturbi del metabolismo degli sfingolipidi ed altre tesaurismosi lipidiche
E76-04-08;Disturbi del metabolismo del glicosamminoglicano
E77-04-08;Disturbi del metabolismo delle glicoproteine
E78-04-08;Disturbi del metabolismo delle lipoproteine ed altre dislipidemie
E79-04-08;Disturbi del metabolismo purinico e pirimidinico
E80-04-08;Disturbi del metabolismo porfirinico e bilirubinico
E83-04-08;Disturbi del metabolismo dei minerali
E84-04-08;Fibrosi cistica
E85-04-08;Amiloidosi
E86-04-08;Ipovolemia
E87-04-08;Altri disturbi dei liquidi, degli elettroliti e dell’equilibrio acido base
E88-04-08;Altri disturbi metabolici
E89-04-08;Disturbi endocrini e metabolici iatrogeni, non classificati altrove
E90-04-08;Disturbi nutrizionali e metabolici in malattie classificate altrove
F00-05-01;Demenza nella malattia di Alzheimer (G30)
F01-05-01;Demenza vascolare
F02-05-01;Demenza in altre malattie classificate altrove
F03-05-01;Demenza non specificata
F04-05-01;Sindrome amnesica organica, non indotta da alcol o da altre sostanze psicoattive
F05-05-01;Delirium non indotto da alcol o da altre sostanze psicoattive
F06-05-01;Altri disturbi psichici dovuti a danni o disfunzioni cerebrali e a malattie somatiche
F07-05-01;Disturbi di personalita'' e del comportamento dovuti a malattia, danno e disfunzione cerebrali
F09-05-01;Disturbi psichici organici o sintomatici non specificati
F10-05-02;Disturbi psichici e comportamentali dovuti all’uso di alcol
F11-05-02;Disturbi psichici e comportamentali dovuti all’uso di oppioidi
F12-05-02;Disturbi psichici e comportamentali dovuti all’uso di cannabinoidi
F13-05-02;Disturbi psichici e comportamentali dovuti all’uso di sedativi o ipnotici
F14-05-02;Disturbi psichici e comportamentali dovuti all’uso di cocaina
F15-05-02;Disturbi psichici e comportamentali dovuti all’uso di altri stimolanti, compresa la caffeina
F16-05-02;Disturbi psichici e comportamentali dovuti all’uso di allucinogeni
F17-05-02;Disturbi psichici e comportamentali dovuti all’uso di tabacco
F18-05-02;Disturbi psichici e comportamentali dovuti all’uso di solventi volatili
F19-05-02;Disturbi psichici e comportamentali dovuti all’uso di sostanze psicoattive multiple e all’uso di altre sostanze psicoattive
F20-05-03;Schizofrenia
F21-05-03;Disturbo schizotipico
F22-05-03;Disturbi deliranti persistenti
F23-05-03;Disturbi psicotici acuti e transitori
F24-05-03;Disturbo delirante indotto
F25-05-03;Disturbi schizoaffettivi
F28-05-03;Altri disturbi psicotici non organici
F29-05-03;Psicosi non organica non specificata
F30-05-04;Episodio maniacale
F31-05-04;Disturbo affettivo bipolare
F32-05-04;Episodio depressivo
F33-05-04;Disturbo depressivo ricorrente
F34-05-04;Disturbi persistenti dell’umore (affettivi)
F38-05-04;Disturbi dell’umore (affettivi) di altro tipo
F39-05-04;Disturbo dell’umore (affettivo) non specificato
F40-05-05;Disturbi ansioso fobici
F41-05-05;Altri disturbi d’ansia
F42-05-05;Disturbo ossessivo compulsivo
F43-05-05;Reazione a grave stress e disturbi dell’adattamento
F44-05-05;Disturbi dissociativi (di conversione)
F45-05-05;Disturbi somatoformi
F48-05-05;Altri disturbi nevrotici
F50-05-06;Disturbi dell’alimentazione
F51-05-06;Disturbi del sonno non organici
F52-05-06;Disfunzione sessuale non causata da disturbo o malattia organica
F53-05-06;Disturbi mentali o comportamentali associati con il puerperio non classificati altrove
F54-05-06;Fattori psicologici e comportamentali associati a disturbi o malattie classificati altrove
F55-05-06;Abuso di sostanze che non provocano dipendenza
F59-05-06;Sindromi comportamentali non specificate associate a disturbi fisiologici e a fattori somatici
F60-05-07;Disturbi di personalita'' specifici
F61-05-07;Altri disturbi di personalita'' e forme miste
